id_devolucao;numero_nf_origem;data_devolucao;valor_devolvido;motivo_devolucao;responsavel;status_devolucao;observacao
DEV-00278;NF-109294;22-05-25;50.69;Cliente desistiu;comercial;Confirmada;lançada no mês seguinte
DEV-00279;NF-100971;06/11/2025;45.83;Qualidade;Qualidade;Confirmada;verificar se abate comissão
DEV-00280;NF-102339;19/06/2025;334.33;erro pedido;Não definido;Confirmada;lançada no mês seguinte
DEV-00281;NF-106319;30/04/26;1,606.80;Quebra/Avaria;comercial;Confirmada;lançada no mês seguinte
DEV-00282;NF-111696;2026-01-03;145,50;Preço/negociação;Expedição;Pendente;lançada no mês seguinte
DEV-00283;nf-110737;12/02/2025;22.74;erro pedido;Logística;Confirmada;lançada no mês seguinte
DEV-00284;NF-104471;04/07/2026;20.18;Cliente desistiu;Logística;Confirmada;devolução parcial
DEV-00285;NF-108809; 04/07/2026 ;67.72;Produto divergente;Não definido;Confirmada;
DEV-00286;NF-104236;02/02/2026;7.64;Avaria;Não definido;Confirmada;verificar se abate comissão
DEV-00287;NF-107039;10-04-26; 32.81 ;Qualidade;comercial;Cancelada;devolução parcial
DEV-00288; NF-107233 ;30/05/2026;10.34;Avaria;Logística;Cancelada;lançada no mês seguinte
DEV-00289;NF-100876;17/04/2026; 283.72 ;Erro de pedido;Comercial;Confirmada;aguardando NF de entrada
DEV-00290;;19-08-25;98.57;erro pedido;Expedição;Pendente;devolução parcial
DEV-00291;NF-107815;2025-12-05;R$ 111,71;Quebra/Avaria;Não definido;Cancelada;verificar se abate comissão
DEV-00292;NF-110338;30/08/2025;272.37;Quebra/Avaria;Expedição;Confirmada;aguardando NF de entrada
DEV-00293;NF-108369;28/02/2026;103.74;Preço/negociação;Logística;Cancelada;verificar se abate comissão
DEV-00294;NF-110308;27/10/2025;5,41;Produto divergente;Expedição;Confirmada;aguardando NF de entrada
DEV-00295;NF-100844;19/11/2025;73.55;erro pedido;Expedição;Confirmada;verificar se abate comissão
DEV-00296;NF-101659;21/03/2026;689.24;Produto divergente;Cliente;Confirmada;lançada no mês seguinte
DEV-00297;NF-110981;28/07/2025;12.51;Erro de pedido;Logística;Pendente;
DEV-00298;NF-106496;27/06/2026;55.22;Cliente desistiu;Expedição;Confirmada;lançada no mês seguinte
DEV-00299;NF-107143;27/08/2026;142.53;qualidade ;Comercial;Confirmada;verificar se abate comissão
DEV-00300;NF-108502;15-09-25;233.42;Erro de pedido;Cliente;Confirmada;devolução parcial
DEV-00301;NF-111868;07/07/2026;201.50;Qualidade;Qualidade;Pendente;
DEV-00302; NF-105786 ;27/07/2025;305.32;Qualidade;comercial;Pendente;aguardando NF de entrada
DEV-00303;NF-105868;11/06/2026;277.18;erro pedido;Cliente;Pendente;
DEV-00304;NF-106719;29-06-25;219.04;Avaria;Cliente;Pendente;verificar se abate comissão
DEV-00305;NF-107316;30/12/2025;R$ 60,58;Qualidade;Cliente;Confirmada;verificar se abate comissão
DEV-00306;NF-102447;02/05/2025;80.82;Produto divergente;Expedição;Confirmada;verificar se abate comissão
DEV-00307;NF-109956;17/03/2025;285.95;qualidade ;Qualidade;confirmada ;verificar se abate comissão
DEV-00308;NF-102452; 16/02/2026 ;83.16;Erro de pedido;Não definido;confirmada ;devolução parcial
DEV-00309;NF-102544;25/05/2026;R$ 23,90;Produto divergente;Não definido;Confirmada;devolução parcial
DEV-00310;NF-103616;04/05/2025;50.12;Produto divergente;Comercial;Confirmada;
DEV-00311;NF-107913;16/03/2026; 22.49 ;Avaria;Cliente;Confirmada;verificar se abate comissão
DEV-00312;NF-106692;2026-06-04;11.94;qualidade ;Qualidade;confirmada ;devolução parcial
DEV-00313;NF-106138;04/07/2025;83.99;Produto divergente;Logística;Confirmada;aguardando NF de entrada
DEV-00314;NF-108242;14/02/2026;117.10;Quebra/Avaria;Cliente;Confirmada;lançada no mês seguinte
DEV-00315;NF-108545;29/09/2025;1019.85;Quebra/Avaria;Comercial;Confirmada;
DEV-00316;NF-100276;28/09/2025;276.30;erro pedido;Logística;confirmada ;
DEV-00317;NF-102674;24/02/2026;242.90;erro pedido;Não definido;Pendente;verificar se abate comissão
DEV-00318;NF-104619;;414.53;Preço/negociação;Comercial;Confirmada;
DEV-00319;NF-106478;2026-06-28;210.01;Produto divergente;Comercial;Confirmada;devolução parcial
DEV-00320;NF-104145;2026-01-20;609.19;Erro de pedido;Comercial;Pendente;verificar se abate comissão
DEV-00321;NF-103625;08/04/2025;28.17;Avaria;comercial;Pendente;
DEV-00322;NF-102689;20/12/2025;R$ 101,08;Qualidade;Não definido;Confirmada;verificar se abate comissão
DEV-00323;NF-108042;; 7.21 ;erro pedido;comercial;confirmada ;devolução parcial
DEV-00324;NF-105438;29/11/2025;81.88;Avaria;Não definido;Pendente;lançada no mês seguinte
DEV-00325;NF-108373;12/06/2026;165,48;Qualidade;Expedição;Confirmada;verificar se abate comissão
DEV-00326;;;402.41;Produto divergente;Qualidade;Pendente;lançada no mês seguinte
DEV-00327;NF-108602;19-08-25;49.69;Avaria;Não definido;Confirmada;aguardando NF de entrada
DEV-00328;NF-102095;17/11/2025;272.39;qualidade ;Comercial;Confirmada;aguardando NF de entrada
DEV-00329;NF-102954;;1.01;Produto divergente;Não definido;Confirmada;aguardando NF de entrada
DEV-00330;NF-110247;;89,02;Preço/negociação;Logística;Cancelada;devolução parcial
DEV-00331;NF-101942;2025-04-15;47.23;Avaria;comercial;Confirmada;lançada no mês seguinte
DEV-00332;NF-100451;02/04/2025;20.35;Qualidade;Expedição;Cancelada;
DEV-00333;NF-105005;05/08/2025;29.68;Erro de pedido;Expedição;Pendente;verificar se abate comissão
DEV-00334;NF-106753;2025-10-18;594.24;Produto divergente;Comercial;Pendente;aguardando NF de entrada
DEV-00335;NF-111817;04/03/2026;10.27;Produto divergente;Logística;Confirmada;aguardando NF de entrada
DEV-00336;NF-104691;02/09/2025;149.64;erro pedido;Cliente;confirmada ;aguardando NF de entrada
DEV-00337;NF-109794;26/07/2026;848.33;Quebra/Avaria;Logística;Confirmada;lançada no mês seguinte
DEV-00338;NF-108154;29-04-26;74,01;Cliente desistiu;Qualidade;Cancelada;
DEV-00339;NF-110656;06/09/2025;23.96;qualidade ;Expedição;confirmada ;aguardando NF de entrada
DEV-00340;NF-106616;17/02/2026;1,89;Quebra/Avaria;Qualidade;Pendente;lançada no mês seguinte
DEV-00341;NF-101439;24/03/2026;16.80;Produto divergente;Cliente;Pendente;
DEV-00342;NF-104282;02/08/2026;10.23;qualidade ;Não definido;Confirmada;
DEV-00343;NF-106430;20/01/2026;172.36;Erro de pedido;Não definido;Cancelada;devolução parcial
DEV-00344;NF-103419;03/05/2025;18.88;Cliente desistiu;Qualidade;Confirmada;verificar se abate comissão
DEV-00345;NF-102454;;35.94;Avaria;Logística;confirmada ;devolução parcial
DEV-00346;NF-107058;23/03/2026;R$ 152,58;Produto divergente;Qualidade;Confirmada;aguardando NF de entrada
DEV-00347;NF-102164;09/02/2026;9.74;Preço/negociação;Expedição;Confirmada;devolução parcial
DEV-00348;NF-106794;2026-01-26;80.83;Erro de pedido;Comercial;Confirmada;verificar se abate comissão
DEV-00349;NF-108375;10-07-26;25.58;Erro de pedido;Qualidade;Confirmada;lançada no mês seguinte
DEV-00350;NF-106436;18/02/2025;47,35;Avaria;Cliente;confirmada ;verificar se abate comissão
DEV-00351;NF-107102;2026-02-24;2.66;Produto divergente;Expedição;Confirmada;devolução parcial
DEV-00352;NF-104182;2026-02-13;38.27;erro pedido;Cliente;Confirmada;
DEV-00353;NF-101640;09-06-25;456.73;Cliente desistiu;Cliente;confirmada ;devolução parcial
DEV-00354;NF-111238;29-11-25;86.90;Preço/negociação;Não definido;Confirmada;aguardando NF de entrada
DEV-00355;NF-109947;07/08/2026;1355.44;Quebra/Avaria;Logística;Confirmada;aguardando NF de entrada
DEV-00356;NF-102228;01-05-26;12.98;Erro de pedido;Qualidade;Pendente;verificar se abate comissão
DEV-00357;NF-107026;05/03/2026;568.16;Produto divergente;comercial;confirmada ;lançada no mês seguinte
DEV-00358;NF-103147;2026-06-18;1.74;Preço/negociação;Não definido;Confirmada;lançada no mês seguinte
DEV-00359;NF-109416;30/06/2025;105.61;qualidade ;Logística;Confirmada;
DEV-00360;NF-102971;19/04/2025;190.25;Preço/negociação;Comercial;confirmada ;
DEV-00361;NF-105732;05/05/2026;52.27;Qualidade;Comercial;Confirmada;lançada no mês seguinte
DEV-00362;NF-104147;01/05/2025;442.33;Preço/negociação;Qualidade;confirmada ;aguardando NF de entrada
DEV-00363;NF-105980;08/05/2026;34.90;Avaria;Comercial;confirmada ;verificar se abate comissão
DEV-00364;NF-104012;06/04/25;146.90;Quebra/Avaria;comercial;confirmada ;lançada no mês seguinte
DEV-00365;NF-101903;20/06/2026;22.87;Qualidade;Qualidade;confirmada ;aguardando NF de entrada
DEV-00366;NF-111264;09/09/2026;98.61;qualidade ;Cliente;Confirmada;lançada no mês seguinte
DEV-00367;NF-106894;21/01/2026;-977.06;Qualidade;Comercial;confirmada ;devolução parcial
DEV-00368;NF-103863;05/04/2025;52.13;Preço/negociação;Logística;confirmada ;lançada no mês seguinte
DEV-00369;NF-101263;27-07-25;99.95;Cliente desistiu;Cliente;Confirmada;aguardando NF de entrada
DEV-00370;NF-106280;10/05/2025;50.51;Avaria;Não definido;confirmada ;verificar se abate comissão
DEV-00371;NF-101989; 09/12/2025 ;0.22;erro pedido;Qualidade;Cancelada;aguardando NF de entrada
DEV-00372;NF-101444;18/09/2025; 222.71 ;Qualidade;Qualidade;confirmada ;verificar se abate comissão
DEV-00373;NF-100469;30-10-25;76,55;qualidade ;Expedição;Confirmada;verificar se abate comissão
DEV-00374;NF-104739;15/09/2025;R$ 145,83;Quebra/Avaria;Expedição;confirmada ;
DEV-00375;NF-104066;10/11/2025;13.54;Produto divergente;Cliente;Pendente;aguardando NF de entrada
DEV-00376;NF-103865;24/01/26;R$ 87,24;Quebra/Avaria;Logística;Cancelada;verificar se abate comissão
DEV-00377;NF-110906;28/06/2026;211.69;erro pedido;Não definido;Pendente;aguardando NF de entrada
DEV-00378;NF-107634;23/03/2026;853.19;Quebra/Avaria;comercial;Confirmada;
DEV-00379;NF-107700; 16/03/2026 ;105.90;Erro de pedido;Expedição;Pendente;
DEV-00380;NF-110616;17-06-26;6,66;Cliente desistiu;Cliente;Confirmada;aguardando NF de entrada
DEV-00381;NF-102179;; 384.57 ;Cliente desistiu;Cliente;Pendente;verificar se abate comissão
DEV-00382;NF-108023;06-05-25;61.30;erro pedido;Cliente;Confirmada;devolução parcial
DEV-00383;NF-104149; 22/07/2025 ;142.79;Qualidade;Qualidade;Confirmada;lançada no mês seguinte
DEV-00384;NF-111443;15/02/2026;301.12;Quebra/Avaria;comercial;Cancelada;
DEV-00385;NF-103006;14/04/2026;84.10;Avaria;Qualidade;Confirmada;
DEV-00386;NF-107685;2025-05-02;61.73;erro pedido;Comercial;Confirmada;verificar se abate comissão
DEV-00387;NF-105293;14/02/2026;1114,36;Avaria;Cliente;Pendente;verificar se abate comissão
DEV-00388;NF-108536;26/04/2026;446.89;Cliente desistiu;comercial;Confirmada;
DEV-00389;NF-100181;07/11/2025;506.04;Quebra/Avaria;Comercial;confirmada ;lançada no mês seguinte
DEV-00390;NF-107348;05/06/25;101.54;Produto divergente;Comercial;Confirmada;devolução parcial
DEV-00391;NF-106658;2026-05-17;232.04;Avaria;Comercial;Confirmada;aguardando NF de entrada
DEV-00392;NF-103902;10/06/2025; 9.60 ;qualidade ;Comercial;Confirmada;devolução parcial
DEV-00393;NF-104185;15/10/2025; 6.99 ;Produto divergente;Não definido;Confirmada;aguardando NF de entrada
DEV-00394;NF-102073;07/11/2025;29.02;Qualidade;Não definido;Cancelada;devolução parcial
DEV-00395;NF-107530;11/07/25;43.30;erro pedido;Qualidade;Confirmada;verificar se abate comissão
DEV-00396;NF-104985;24/05/2025;85.32;Erro de pedido;Logística;Pendente;aguardando NF de entrada
DEV-00397;NF-103490;15/12/2025;88,41;Preço/negociação;Logística;Cancelada;
DEV-00398;NF-105607;02/03/26;R$ 58,28;qualidade ;Cliente;Confirmada;
DEV-00399;NF-100936;2026-09-11;7,48;Cliente desistiu;Qualidade;confirmada ;devolução parcial
DEV-00400;NF-101578;09/01/26;1216.60;Quebra/Avaria;Não definido;Cancelada;devolução parcial
DEV-00401;NF-106598;2025-04-01;43.17;Produto divergente;Não definido;Confirmada;lançada no mês seguinte
DEV-00402;NF-105185;31/08/2025;131.79;Quebra/Avaria;Não definido;Cancelada;aguardando NF de entrada
DEV-00403;NF-109988; 17/11/2025 ;107.61;Erro de pedido;Comercial;Confirmada;
DEV-00404;NF-104655;29-07-26;57.55;qualidade ;Logística;Confirmada;verificar se abate comissão
DEV-00405;NF-106288;09/02/2026;198.04;Quebra/Avaria;Expedição;Pendente;verificar se abate comissão
DEV-00406;NF-105184;27/05/2026;58.69;Qualidade;Logística;Pendente;devolução parcial
DEV-00407;NF-108146;27/02/2026;38.90;Produto divergente;Comercial;Confirmada;devolução parcial
DEV-00408;NF-103535;25/04/2025;19.22;Cliente desistiu;Comercial;Confirmada;aguardando NF de entrada
DEV-00409;NF-105086;17/04/25;R$ -986,27;qualidade ;Comercial;Confirmada;
DEV-00410;NF-102848;03/01/2026;23.33;erro pedido;comercial;confirmada ;lançada no mês seguinte
DEV-00411;NF-103389;02/03/2025;113.16;erro pedido;Expedição;Cancelada;lançada no mês seguinte
DEV-00412;NF-110329;19/07/2025;896.19;Erro de pedido;Cliente;Cancelada;verificar se abate comissão
DEV-00413;NF-102561;30-06-25;1335.34;Quebra/Avaria;Logística;Confirmada;aguardando NF de entrada
DEV-00414;NF-105984;15/06/2026;1051,08;erro pedido;Cliente;Pendente;lançada no mês seguinte
DEV-00415;NF-106427;08/04/2026;168.69;Qualidade;Comercial;Cancelada;
DEV-00416;NF-104640;21/08/2025;580.29;Preço/negociação;Qualidade;Confirmada;lançada no mês seguinte
DEV-00417;NF-101313;27/04/2026;143.39;erro pedido;Cliente;confirmada ;
DEV-00418;NF-102733;14/01/2026;15.48;Cliente desistiu;Não definido;Confirmada;verificar se abate comissão
DEV-00419;NF-101653;13/05/2025;31.26;Qualidade;Qualidade;Confirmada;verificar se abate comissão
DEV-00420;NF-109007;05/07/25;124.77;Erro de pedido;Logística;Pendente;
DEV-00421;NF-108774;29/07/2026;2122.51;erro pedido;Logística;Confirmada;lançada no mês seguinte
DEV-00422;nf-104324;07/01/2026;181.74;Qualidade;comercial;Confirmada;verificar se abate comissão
DEV-00423;NF-100197;2026-02-07;44.94;Preço/negociação;Não definido;Confirmada;devolução parcial
DEV-00424;NF-107320;25/11/2025;14.92;Avaria;Qualidade;Confirmada;verificar se abate comissão
DEV-00425;NF-103647;2025-09-05;110.47;Avaria;Logística;Confirmada;aguardando NF de entrada
DEV-00426;NF-106913;2025-04-03;115.37;erro pedido;Não definido;Confirmada;aguardando NF de entrada
DEV-00427;NF-107562;06/08/2025;146.01;Qualidade;comercial;confirmada ;aguardando NF de entrada
DEV-00428;NF-104661;09-11-25;66.89;Quebra/Avaria;Comercial;Confirmada;verificar se abate comissão
DEV-00429;NF-110617;2025-05-10;651.98;qualidade ;Expedição;Confirmada;devolução parcial
DEV-00430;NF-103310;29/03/25;907.62;Quebra/Avaria;Logística;Cancelada;
DEV-00431;NF-109098;14/08/2025;4.67;Quebra/Avaria;comercial;Confirmada;
DEV-00432;NF-100361;29/03/25;R$ 79,43;Erro de pedido;Não definido;Confirmada;devolução parcial
DEV-00433;NF-105904;11/02/2026;108,40;Cliente desistiu;Expedição;Pendente;lançada no mês seguinte
DEV-00434;NF-111368;17/05/26;232.12;Qualidade;Logística;confirmada ;devolução parcial
DEV-00435;NF-104727;03/03/2025;35.57;Qualidade;comercial;Confirmada;
DEV-00436;NF-107525;11-04-25;450.95;Qualidade;comercial;Confirmada;aguardando NF de entrada
DEV-00437;NF-105271;24/04/2025; 105.51 ;qualidade ;Cliente;confirmada ;devolução parcial
DEV-00438;NF-110325;29/03/2026;1.95;Erro de pedido;Não definido;Confirmada;aguardando NF de entrada
DEV-00439;NF-108921; 25/12/2025 ;96.27;Quebra/Avaria;Comercial;Cancelada;lançada no mês seguinte
DEV-00440;NF-110954;30/10/2025;118.93;erro pedido;Não definido;Cancelada;aguardando NF de entrada
DEV-00441;NF-101525;2026-04-14;914.03;Erro de pedido;Expedição;Confirmada;
DEV-00442;NF-100179;06-01-26;2227.69;Quebra/Avaria;Comercial;Confirmada;verificar se abate comissão
DEV-00443;NF-109017;08-08-25;428.51;Avaria;Qualidade;Confirmada;
DEV-00444;NF-104180;08/04/2026;67.45;Cliente desistiu;Cliente;Confirmada;aguardando NF de entrada
DEV-00445;NF-103091;28/05/2025;20.19;Erro de pedido;Logística;confirmada ;aguardando NF de entrada
DEV-00446;NF-101469;25/04/26;90.68;Preço/negociação;Logística;Pendente;
DEV-00447;NF-107286;2025-03-13;224.72;Produto divergente;Comercial;Confirmada;verificar se abate comissão
DEV-00448;NF-105399;04/01/2026;147.91;Cliente desistiu;comercial;Confirmada;verificar se abate comissão
DEV-00449;NF-101964; 28/08/2025 ;84.78;Erro de pedido;Não definido;Confirmada;
DEV-00450;NF-105020;2025-09-03;33.94;Erro de pedido;Não definido;Confirmada;verificar se abate comissão
DEV-00451;NF-101030;17/06/2025;8.39;Erro de pedido;Expedição;Cancelada;devolução parcial
DEV-00452;NF-106486;13-04-26;5.51;Quebra/Avaria;Logística;Confirmada;aguardando NF de entrada
DEV-00453;NF-110334;2025-10-19;96.93;Quebra/Avaria;Logística;Confirmada;lançada no mês seguinte
DEV-00454;NF-109602;09-02-25;305.46;erro pedido;Cliente;Pendente;verificar se abate comissão
DEV-00455;NF-110669;09/04/2026;288.52;Preço/negociação;Não definido;Confirmada;
DEV-00456;NF-101096;sem data; 145.92 ;Erro de pedido;Comercial;Confirmada;aguardando NF de entrada
DEV-00457;NF-108857;22/01/2026;24,05;Qualidade;Qualidade;Cancelada;aguardando NF de entrada
DEV-00458;NF-106752;21/03/26;90.00;Qualidade;Logística;Confirmada;verificar se abate comissão
DEV-00459;NF-111564;;26.02;Erro de pedido;comercial;Confirmada;
DEV-00460;NF-109614;03/05/2026;1722.22;Quebra/Avaria;Cliente;Confirmada;devolução parcial
DEV-00461;NF-109470;2025-08-21;54,20;Qualidade;comercial;Confirmada;
DEV-00462;NF-106875;11/03/2026;450,90;qualidade ;Comercial;Confirmada;verificar se abate comissão
DEV-00463;NF-100740;04/08/2025;137.70;Quebra/Avaria;Expedição;Confirmada;aguardando NF de entrada
DEV-00464;NF-105507;10/05/2025;209.31;Preço/negociação;comercial;Cancelada;verificar se abate comissão
DEV-00465;NF-111929;17/06/2026;20.06;erro pedido;Não definido;Confirmada;aguardando NF de entrada
DEV-00466;NF-111176;24/10/25;24.15;Avaria;Cliente;Cancelada;lançada no mês seguinte
DEV-00467;NF-106096;2026-03-15;73.40;Quebra/Avaria;Qualidade;Pendente;verificar se abate comissão
DEV-00468;NF-105048;21/10/2025;216.55;erro pedido;Expedição;Confirmada;aguardando NF de entrada
DEV-00469;NF-110245;07/03/2026;8.21;Avaria;Expedição;Pendente;aguardando NF de entrada
DEV-00470;NF-110537;04/03/2025;192,64;Avaria;Não definido;Confirmada;lançada no mês seguinte
DEV-00471;NF-110295;29/04/2025; 4.54 ;Qualidade;Cliente;confirmada ;verificar se abate comissão
DEV-00472;NF-100127;19-06-25;503.94;Qualidade;comercial;Pendente;lançada no mês seguinte
DEV-00473;NF-100790;14/10/2025;123.32;Qualidade;Cliente;confirmada ;verificar se abate comissão
DEV-00474;NF-106335;22/11/25;268,77;qualidade ;Qualidade;Pendente;lançada no mês seguinte
DEV-00475;NF-107516;26/10/2025;121.50;erro pedido;Logística;confirmada ;devolução parcial
DEV-00476;NF-102492;2025-08-15;66.93;Produto divergente;Logística;Confirmada;aguardando NF de entrada
DEV-00477;NF-108585;25/03/2026;36,67;Preço/negociação;Logística;Confirmada;verificar se abate comissão
DEV-00478;NF-109830;21-08-26;156.00;erro pedido;comercial;Confirmada;lançada no mês seguinte
DEV-00479;NF-104323;16/05/2026;101,34;Produto divergente;Expedição;Cancelada;lançada no mês seguinte
DEV-00480;NF-101414;19/08/2026;96.39;Produto divergente;Logística;Confirmada;devolução parcial
DEV-00481;NF-106956;; 69.79 ;qualidade ;Qualidade;Cancelada;devolução parcial
DEV-00482;NF-109383;25-03-26;213.46;Quebra/Avaria;Logística;Confirmada;
DEV-00483;NF-104494;21/04/2026;R$ 439,01;Qualidade;Cliente;Cancelada;
DEV-00484;NF-109647;01-06-26;316.24;Avaria;Comercial;Pendente;
DEV-00485;NF-105161;15/06/2026;1.35;Produto divergente;Comercial;Confirmada;aguardando NF de entrada
DEV-00486;NF-102765;29/09/2025;87.44;Cliente desistiu;Cliente;Pendente;devolução parcial
DEV-00487;NF-101714;16-08-26;112,26;Cliente desistiu;Cliente;Confirmada;devolução parcial
DEV-00488;NF-110774;28-06-25;869.02;Qualidade;Qualidade;Cancelada;lançada no mês seguinte
DEV-00489;NF-107846;13/09/2025;28.22;Cliente desistiu;Logística;Confirmada;aguardando NF de entrada
DEV-00490;NF-100090;28/01/2026;-37.81;Cliente desistiu;Comercial;Cancelada;
DEV-00491;NF-106409;03/03/2025;179.87;Qualidade;Comercial;Cancelada;
DEV-00492;NF-111703;26/02/2025;48.77;Qualidade;Expedição;Cancelada;
DEV-00493;NF-111876; 10/08/2026 ;264,79;Produto divergente;Não definido;Confirmada;devolução parcial
DEV-00494;NF-110587;04/04/2025;-60.56;erro pedido;comercial;Confirmada;devolução parcial
DEV-00495;NF-103991;27-09-25;113,33;qualidade ;comercial;Pendente;aguardando NF de entrada
DEV-00496;;2026-04-07;60.39;Qualidade;Comercial;Pendente;
DEV-00497;NF-110485;22/05/26;320.32;Erro de pedido;Cliente;Cancelada;
DEV-00498;NF-102616;18/03/2026;4.83;qualidade ;Comercial;confirmada ;
DEV-00499;NF-103712;16/10/2025;274.59;erro pedido;Qualidade;Cancelada;
DEV-00500;NF-110029;16/10/25;R$ 133,81;Qualidade;Expedição;Pendente;lançada no mês seguinte
DEV-00501;NF-102434;06-12-25;116.86;Qualidade;Não definido;Confirmada;aguardando NF de entrada
DEV-00502;NF-111557;13/03/2026;797,11;Produto divergente;Expedição;confirmada ;lançada no mês seguinte
DEV-00503;;31/10/2025;65.62;Preço/negociação;Comercial;Cancelada;aguardando NF de entrada
DEV-00504;NF-109486;17/05/2025;2.88;Cliente desistiu;Cliente;Confirmada;
DEV-00505;NF-105687;27/01/2025;71.11;Preço/negociação;Não definido;Pendente;devolução parcial
DEV-00506;NF-106215;;313.32;Preço/negociação;Comercial;Pendente;verificar se abate comissão
DEV-00507; NF-104914 ;15/11/2025;66.95;Produto divergente;Comercial;confirmada ;lançada no mês seguinte
DEV-00508;NF-104186;2025-07-02;276.89;erro pedido;Qualidade;Pendente;verificar se abate comissão
DEV-00509;NF-109200;25/07/2025;253.34;Qualidade;comercial;confirmada ;aguardando NF de entrada
DEV-00510;NF-100133;06/09/2026;7.61;Erro de pedido;Logística;Cancelada;devolução parcial
DEV-00511;NF-109796;30/04/2026;54.70;Quebra/Avaria;Comercial;Confirmada;lançada no mês seguinte
DEV-00512;NF-111180;2025-03-10;R$ 607,04;Erro de pedido;Não definido;Pendente;aguardando NF de entrada
DEV-00513;NF-106841;24/01/2026;320.82;Qualidade;Cliente;Cancelada;aguardando NF de entrada
DEV-00514;NF-101704;22/08/2026;117.03;Quebra/Avaria;Logística;Confirmada;verificar se abate comissão
DEV-00515;NF-108063;12/03/2026;152.66;Quebra/Avaria;Cliente;confirmada ;
DEV-00516;NF-100066;11/09/2025;36.37;Qualidade;Expedição;Pendente;aguardando NF de entrada
DEV-00517;NF-102065;12/06/2025;R$ 492,03;qualidade ;comercial;Confirmada;devolução parcial
DEV-00518;NF-103141;2026-01-11; 25.73 ;Erro de pedido;Logística;Cancelada;
DEV-00519;NF-100918; 25/03/2025 ;269.03;Erro de pedido;Logística;confirmada ;aguardando NF de entrada
DEV-00520;NF-102617;23/06/2026;39.39;Produto divergente;Não definido;confirmada ;lançada no mês seguinte
DEV-00521;NF-111501;;53.08;erro pedido;Cliente;Pendente;aguardando NF de entrada
DEV-00522;NF-100298;09/06/26;65.21;Quebra/Avaria;comercial;Cancelada;verificar se abate comissão
DEV-00523;NF-104478;26/06/2026;144.46;erro pedido;Comercial;confirmada ;lançada no mês seguinte
DEV-00524;NF-100985;28/02/2026;101.92;Erro de pedido;comercial;Cancelada;
DEV-00525;NF-109748;08/10/2025; 159.09 ;Preço/negociação;comercial;Pendente;devolução parcial
DEV-00526;NF-100289;2025-10-11;33.83;Cliente desistiu;Qualidade;confirmada ;
DEV-00527;NF-105811;2025-07-27; 1465.45 ;erro pedido;comercial;Confirmada;lançada no mês seguinte
DEV-00528;NF-104061;02/05/2026;46.91;Erro de pedido;comercial;Confirmada;devolução parcial
DEV-00529;NF-102855;19/08/2025;178.34;Produto divergente;comercial;Pendente;verificar se abate comissão
DEV-00530;NF-105260;11/11/2025;154.06;Quebra/Avaria;Comercial;Confirmada;devolução parcial
DEV-00531; NF-103664 ;06/12/25;0.46;Qualidade;Qualidade;confirmada ;devolução parcial
DEV-00532;NF-107992;2025-10-04;1096,32;Produto divergente;Cliente;Confirmada;
DEV-00533;NF-102693; 09/07/2026 ;120,79;erro pedido;Logística;Pendente;lançada no mês seguinte
DEV-00534;NF-111386;29/11/2025;140.57;Quebra/Avaria;Expedição;confirmada ;devolução parcial
DEV-00535;NF-106518;2026-08-10;242.12;Produto divergente;comercial;Confirmada;lançada no mês seguinte
DEV-00536;NF-110432;2025-06-29;56.65;erro pedido;Comercial;Confirmada;verificar se abate comissão
DEV-00537;NF-109517;01/04/2025;52.56;Cliente desistiu;Não definido;Confirmada;aguardando NF de entrada
DEV-00538;NF-100100;27/05/2026;623.73;Erro de pedido;Cliente;Confirmada;lançada no mês seguinte
DEV-00539;NF-102488;03/09/2025;74.83;Preço/negociação;Comercial;Confirmada;lançada no mês seguinte
DEV-00540;NF-107041;22/01/2026;265.12;Qualidade;comercial;Cancelada;lançada no mês seguinte
DEV-00541;;10/06/25;106.78;Qualidade;Cliente;Confirmada;devolução parcial
DEV-00542;NF-104805;14/06/2025;R$ 24,11;qualidade ;Não definido;Pendente;aguardando NF de entrada
DEV-00543;;21/02/2026;224.36;Preço/negociação;Qualidade;confirmada ;devolução parcial
DEV-00544;NF-111722;2025-04-01;83.77;Avaria;Comercial;Confirmada;
DEV-00545;NF-107994;07/11/2025;91.27;Erro de pedido;Qualidade;Confirmada;
DEV-00546;NF-109158;02/06/2025;125.05;qualidade ;Comercial;Confirmada;aguardando NF de entrada
DEV-00547;NF-104932;29/08/2025;3.03;Avaria;comercial;Confirmada;verificar se abate comissão
DEV-00548;NF-106628;09/10/2025;86.32;qualidade ;Qualidade;confirmada ;verificar se abate comissão
DEV-00549;NF-106234;2026-05-30; 517.75 ;Avaria;Cliente;Confirmada;verificar se abate comissão
DEV-00550;NF-108780;08/04/2026;166.62;Cliente desistiu;Cliente;Confirmada;verificar se abate comissão
DEV-00551;NF-103018;22/09/2025;39.60;erro pedido;Logística;Pendente;
DEV-00552;NF-108484;18/06/2026;264.63;Preço/negociação;comercial;Confirmada;verificar se abate comissão
DEV-00553;NF-106499;27/08/2025;17.94;Quebra/Avaria;Logística;confirmada ;lançada no mês seguinte
DEV-00554;NF-104862;2026-01-20;98.30;Qualidade;Comercial;Pendente;devolução parcial
DEV-00555;NF-106673;2026-03-06; 27.59 ;Avaria;comercial;Pendente;verificar se abate comissão
DEV-00556;NF-100324;03/10/2025;12.84;Erro de pedido;Comercial;confirmada ;
