id_pedido;id_item;data_pedido;data_faturamento;codigo_cliente;cliente;grupo_cliente;vendedor_id;vendedor;codigo_produto;produto;familia_produto;quantidade;valor_unitario;valor_bruto;desconto_percentual;desconto_valor;valor_liquido_nf;status_pedido;numero_nf;estabelecimento;canal_venda;tipo_operacao;fonte_sistema;observacao
PED-2026-02527;ITEM-02527;14-06-26;14-06-26;C0031; Estrela Box ;Construtora;V005;ELAINE COSTA;P0158;Frete Especial 1;Serviços;1;575.15;R$ 575,15;;R$ 65,09;R$ 510,06;faturado;NF-102527;01 - New Glass;Venda Interna;Venda;Construshow;
PED-2025-02528;ITEM-02528;05/11/2025;13-11-25;C0032;Forte Alumínio;arquitetura;V007;GABRIELA NUNES;P0018;Dobradiça Modelo 952;Ferragens;1;81.00;81.00;10.25;8.31;72.69;Dev. Total;NF-102528;03 - DGlass;Venda Interna;Venda;Construshow;cliente pediu urgência
PED-2025-02529;ITEM-02529;31/07/2025;03-08-25;C0022;Viva Lar;Representante;V007;Gabi Nunes;P0062;Espelho Prata 5mm;Espelhos;2;136.07;272.14;9.31;25.33;246.81;Faturado;NF-102529;03-DGlass;Representante;Venda;Planilha manual;cliente pediu urgência
PED-2025-02530;ITEM-02530;05/04/2025;13/04/2025;C0040;Orion Decor Ltda;Franquia;V002;Bruno Lima;P0075;Vidro Laminado Verde 8mm;Vidro Laminado;2;479.05;958.11;9.53%;91.30;866.81;Faturado ;NF-102530;03 - DGlass;Representante;Venda;Construshow;frete negociado
PED-2026-02531;ITEM-02531;18/06/2026;22-06-26;C0024;Xavier Arquitetura;Construtora;V002;B. Lima;P0142;Instalação 3;Serviços;5;587.65;2,938.23;8.72;256.30; 2681.93 ;Dev. Parcial;NF-102531;01 - New Glass;Loja;Reposição;ConstruShow;devolução em análise
PED-2025-02532;ITEM-02532;03/07/2025;;C0021;UNIÃO OBRAS;Construtora;V004;D. Rocha;P0152;Kit Instalação 14;Acessórios;3;30.89;92.67;11.56;10.72;81.95;Faturado;NF-102532;02 - Link Glass;Venda Interna;Reposição;ERP;cliente pediu urgência
PED-2025-02533;ITEM-02533;01/03/2025;07-03-25;C0012;Litoral Esquadrias Ltda;Revenda;V002;Bruno Lima;P0059;Instalação 9;Serviços;4;812.26;3249.05;8.79%;285.50;2963.55;faturado;NF-102533;D-Glass;Loja;Venda;Construshow;
PED-2025-02534;ITEM-02534;06/11/25;14-11-25;C0034;Horizonte Vidros;Arquitetura;V001;ANA SOUZA;p0135;Parafuso 11;Acessórios;4;101.91;407.66;9,32;37.99;369.67;Faturado ;NF-102534;03-DGlass;WhatsApp;Venda futura;Importação CSV;
PED-2026-02535;ITEM-02535;14-06-26;2026-06-16;C0022; Viva Lar ;Representante;V001;A. Souza;P0035;Vidro Temperado Fumê 6mm;Vidro Temperado; 2 ;637.94;1275.88;15.99;204.02;1071,86;Devolvido Parcial;NF-102535;02 - Link Glass;Loja;Venda;ERP;pedido refeito
PED-2026-02536;ITEM-02536;31/01/2026;2026-02-11;C0016;Prime Glass;Consumidor Final;V002;BRUNO LIMA;P0010;Espelho Lapidado 4mm;Espelhos;1;R$ 315,93;315.93;8.87;28.01;287.92;DEV PARCIAL;NF-102536;01 - New Glass;Venda Interna;Venda futura;ERP;frete negociado
PED-2025-02537;ITEM-02537;02/11/2025;13/11/2025;C0028;Barigui Obras Ltda;Construtora;V004;D. Rocha;P0045;Espelho Lapidado 6mm;Espelhos;1;387.62; 387.62 ;10,95;42.45;345.17;devolvido parcial;NF-102537;D-Glass;E-commerce;Reposição;Construshow;pedido refeito
PED-2026-02538;ITEM-02538; 19/05/2026 ;19/05/2026;C0039; Nobre Engenharia ;Revenda;V005;Elaine C.;P0018;Dobradiça Modelo 952;Ferragens;3;103.31;309.93;17.58;54.47;255.46;faturado;NF-102538;01 - New Glass;Key Account;Venda futura;Importação CSV;
PED-2025-02539;ITEM-02539;21-04-25;27/04/25;C0031;Estrela Box;Construtora;V004;D. Rocha;P0032;Kit Instalação 9;acessórios;5;24.30;121.51;7.73;9.39;112.12;FATURADO;NF-102539;02 - Link Glass;Key Account;Venda;ConstruShow;pedido refeito
PED-2025-02540;ITEM-02540;17/03/2025;26/03/2025;C0032;Forte Alumínio;Arquitetura;V006;Felipe Alves;P0110;Espelho Bisotê 6mm;Espelhos;2;R$ 182,64;365.28;10.29;37.57;327.71;FATURADO;NF-102540;D-Glass;E-commerce;Venda;Construshow;verificar comissão
PED-2025-02541;ITEM-02541;10/09/2025;12/09/25;C0021;UNIÃO OBRAS;Construtora;V005;Elaine Costa;P0072;Box Reto 200cm;Box Banheiro;1;651.20;651.20;14.54;94,70;556.50;faturado;NF-102541;1-NewGlass;Key Account;Venda;ERP;frete negociado
PED-2025-02542;ITEM-02542;29-03-25;06/04/2025;C0019;Solar Alumínio Ltda;Arquitetura;V001;Ana Souza;P0010;Espelho Lapidado 4mm;Espelhos;2;365.59;731.18;14.12%;103.21;627.97;Faturado ;NF-102542;03 - DGlass;Representante;Reposição;Planilha manual;frete negociado
PED-2025-02543;ITEM-02543;12/06/2025; 24/06/2025 ;C0026;ZETA INTERIORES;Arquitetura;V004;D. Rocha;P0105;Box Reto 190cm;Box Banheiro;1;702.85;702.85;7.69;54.06;648.79;Dev. Parcial;NF-102543;03 - DGlass;WhatsApp;Venda;Planilha manual;
PED-2026-02544;ITEM-02544;15/03/2026;17-03-26;C0023;Wall Glass;Consumidor Final;V008;HENRIQUE MARTINS;P0149;Espelho Bronze 5mm;Espelhos;1;186.11;186.11;8,76;16.31;169.80;faturado;NF-102544;1-NewGlass;WhatsApp;Venda;Construshow;cliente pediu urgência
PED-2025-02545;ITEM-02545;20-06-25; 29/06/2025 ;C0034;Horizonte Vidros;Arquitetura;V001; Ana Souza ;P0003;Trilho Modelo 333;Ferragens;3;279.29;837,88;7.39;61.88;776.00;Faturado;NF-102545;03-DGlass;Representante;Reposição;Planilha manual;verificar comissão
PED-2025-02546;ITEM-02546;24-07-25;29/07/2025;C0003;Casa Sul Esquadrias;Construtora;V001;ANA SOUZA;P0111;Vidro Laminado Acústico 10mm;Vidro Laminado;1;355.96;R$ 355,96;16.08%;57.24;298.72;FATURADO;NF-102546;D-Glass;E-commerce;Venda;Planilha manual;
PED-2025-02547;ITEM-02547;29/04/2025;;C0009;Ideal Box;Representante;V004;D. Rocha;P0023;Vidro Laminado Incolor 8mm;vidro laminado;0;471.29;0.00;10.34;0.00;0.00;ABERTO;;D-Glass;WhatsApp;Venda;ConstruShow;
PED-2025-02548;ITEM-02548;2025-06-17;21/06/25;C0032;FORTE ALUMÍNIO;Arquitetura;V003;CARLA MENDES;P0018;Dobradiça Modelo 952;Ferragens;3;86.54;259.62;10.47;27.19;232.43;Faturado ;NF-102548;1-NewGlass;WhatsApp;Venda;Construshow;frete negociado
PED-2025-02549;ITEM-02549;21/07/2025;2025-07-29;C0001;ALFA VIDROS;Revenda;V004;Diego R.;P0036;Lapidação 4;Serviços;4;643,25;2573,02;16,99;437,28;2135.74;Dev. Parcial;NF-102549;D-Glass;Loja;Venda futura;Planilha manual;devolução em análise
PED-2025-02550;ITEM-02550;2025-11-20;26/11/25;C0029;Curitiba Glass Ltda;Consumidor Final;V008;Henrique Martins;;Vidro Laminado Verde 8mm;Vidro Laminado;5,0;257.52;1287.62;8,32;107.09;1180.53;Faturado;NF-102550;1-NewGlass;Key Account;Reposição;Construshow;devolução em análise
PED-2025-02551;ITEM-02551;17/02/2025;25/02/2025;C0020;Top Vidros;Consumidor Final;V001;ANA SOUZA;P0029;Suporte Modelo 629;Ferragens;2;211.72;423.43;9.49;40.18;383.25;faturado;NF-102551;01 - New Glass;Representante;Venda;Importação CSV;frete negociado
PED-2025-02552;ITEM-02552; 03/01/2025 ;;C0007;GRAN LUX;Franquia;V002;Bruno Lima;P0024;Frete Especial 7;Serviços;8;277.23;2217.88;10.95;242.75;1975.13;Em aberto;;03 - DGlass;Key Account;Venda;ERP;frete negociado
PED-2025-02553;ITEM-02553;24/08/2025;31/08/2025;C0014;NOVA CASA;Consumidor Final;V005;Elaine Costa;P0045;Espelho Lapidado 6mm;Espelhos;1;544.64;544.64;10.81;58.89;485.75;Faturado;NF-102553;03-DGlass;WhatsApp;Venda futura;Construshow;
PED-2026-02554;ITEM-02554; 12/04/2026 ; 23/04/2026 ;C0025;Ypê Construções;Consumidor Final;V007;G. Nunes;P0146;Perfil H 4m;Perfis de Alumínio;4; 116.51 ;466.02;10,51;48.96;417.06;FATURADO;NF-102554;D-Glass;E-commerce;Venda;ERP;pedido refeito
PED-2026-02555;ITEM-02555;14/02/2026;2026-02-20;C0002;Beta Construções;Consumidor Final;V007;Gabriela Nunes;P0030;Vidro Laminado Incolor 10mm;Vidro Laminado;1;628.29;628.29;9.63;60.50;567.79;Faturado ;NF-102555;01 - New Glass;Representante;Venda;ERP;frete negociado
PED-2026-02556;ITEM-02556;19/04/2026;29/04/2026;C0009; Ideal Box ;Representante;V001; Ana Souza ;P0157;Instalação 2;Serviços;2;860,25;1720.50;18.50;318.29;1402,21;faturado;NF-102556;D-Glass;Key Account;Venda;Importação CSV;frete negociado
PED-2025-02557;ITEM-02557;15/05/2025;22/05/2025;C0039;Nobre Engenharia;Revenda;V003;C. Mendes;P0088;Medição Técnica 5;Serviços;2;701,97;1403.95;12.40;174.16;1229.79;FATURADO;NF-102557;01 - New Glass;Representante;Venda;Construshow;verificar comissão
PED-2025-02558;ITEM-02558;04/08/2025;07/08/2025;C0026;ZETA INTERIORES;Arquitetura;V001; Ana Souza ;P0135;Parafuso 11;Acessórios;2;103,85;207.71;7.36;15.29;192,42;Faturado;NF-102558;02 - Link Glass;Loja;Reposição;Construshow;verificar comissão
PED-2025-02559;ITEM-02559;02/05/2025;13/05/2025;C0007;Gran Lux;Franquia;V003;CARLA MENDES;P0070;Perfil U 3m;Perfis de Alumínio;1;280.17;280.17;8.00%;22.41; 257.76 ;faturado;NF-102559;02 - Link Glass;Key Account;Venda;ConstruShow;devolução em análise
PED-2025-02560;ITEM-02560;22/03/2025;01/04/2025;C0035;Imperial Obras Ltda;Revenda;V007;GABRIELA NUNES;P0042;Perfil Porta 2m;Perfis de Alumínio;1;R$ 124,88;124.88;10.23;12.78;0.00;Cancel.;NF-102560;03-DGlass;Venda Interna;Reposição;Construshow;pedido refeito
PED-2025-02561;ITEM-02561;23/05/25;30/05/2025;C0017;QUALITY BOX;Construtora;V001;A. Souza;P0041;Espelho Lapidado 4mm;Espelhos;8;553.55; 4428.42 ;14,93;661.15;3767.27;faturado;NF-102561;03 - DGlass;Key Account;Venda;ERP;
PED-2026-02562;ITEM-02562;07/06/2026;2026-06-09;C0005;Espaço Glass;Revenda;V006;F. Alves;P0094;Vidro Laminado Verde 10mm;Vidro Laminado;1;533.46;533,46;4.80;25.63;507.83;ABERTO;NF-102562;02 - Link Glass;Venda Interna;Venda futura;Construshow;pedido refeito
PED-2026-02563;ITEM-02563;16/01/2026;2026-01-26;C0024;Xavier Arquitetura Ltda;Construtora;V005;E. Costa;P0042;Perfil Porta 2m;Perfis de Alumínio;0;181.59;0.00;14.00;0.00;0.00;faturado;NF-102563;1-NewGlass;Representante;Venda;ConstruShow;devolução em análise
PED-2026-02564;ITEM-02564;23/03/2026;2026-03-31;C0010;JARDIM VIDROS;Construtora;V003;C. Mendes;P0017;Suporte Modelo 873;Ferragens;2;246.94;493.88;12.58;62.12;431,76;Faturado;NF-102564;03 - DGlass;Venda Interna;Venda;Construshow;verificar comissão
PED-2025-02565;ITEM-02565;13/02/2025;17/02/2025;C0021;União Obras;construtora;V008;Henrique M.;P0002;Kit Instalação 9;Acessórios;1;76.43;76.43;11.27;8.62;67,81;faturado;NF-102565;02 - Link Glass;WhatsApp;Venda;Importação CSV;pedido refeito
PED-2025-02566;ITEM-02566;2025-04-01;;C0001;Alfa Vidros;Revenda;V001;A. Souza;P0153;Suporte Modelo 334;Ferragens;3;55.17;165.52;16.87; 27.92 ;137.60;faturado;NF-102566;02 - Link Glass;WhatsApp;Venda;Importação CSV;cliente pediu urgência
PED-2026-02567;ITEM-02567;01-04-26;11-04-26;C0024;Xavier Arquitetura;Construtora;V002;Bruno Lima;P0073;Perfil H 6m;Perfis de Alumínio;2;279.00;557,99;8.93;49.85;508.14;Dev. Parcial;NF-102567;1-NewGlass;E-commerce;Venda;ERP;frete negociado
PED-2025-02568;ITEM-02568;17-05-25;2025-05-27;C0015; Omega Reformas ;Construtora;V008;H. Martins;P0063;Vidro Temperado Incolor 10mm;Vidro Temperado;5;253.01;1265.04;9,09;115.01;1150.03;cancelado;NF-102568;02 - Link Glass;Representante;Venda futura;Planilha manual;devolução em análise
PED-2026-02569;ITEM-02569;25/01/2026;01-02-26;C0007;Gran Lux;Franquia;V006;Felipe A.;P0029;Suporte Modelo 629;Ferragens;7;127,41;891,85;6.95;62.01;0.00;Cancel.;NF-102569;01 - New Glass;WhatsApp;Venda;ERP;pedido refeito
PED-2026-02570;ITEM-02570;10/06/26;;C0031;Estrela Box Ltda;Construtora;V001;ANA SOUZA;P0045;Espelho Lapidado 6mm;Espelhos;1;608.28;608.28;18,22;110.82;497.46;Faturado;NF-100723;03 - DGlass;E-commerce;Venda;Planilha manual;cliente pediu urgência
 PED-2025-02571 ;ITEM-02571;04-06-25;13/06/2025;C0006; Fênix Engenharia ;Representante;V008;Henrique M.;P0005;Medição Técnica 9;Serviços;10;459.39;4593.88;15.48%;R$ 711,31;3882.57;Faturado;NF-102571;02 - Link Glass;Representante;Venda futura;Planilha manual;pedido refeito
PED-2026-02572;ITEM-02572;14/03/2026;14/03/2026;C0025;YPÊ CONSTRUÇÕES;Consumidor Final;V003;Carla M.;P0131;Espelho Bronze 3mm;Espelhos;5;211,50;1057.48;11.68;123.47; 934.01 ;Faturado;NF-102572;03 - DGlass;Venda Interna;Venda futura;Construshow;cliente pediu urgência
PED-2025-02573;ITEM-02573;28/05/2025;2025-06-02;;Zeta Interiores;Arquitetura;V001;Ana Souza;P0098;Perfil Porta 4m;Perfis de Alumínio; 3 ;349.98;R$ 1.049,94;16.61;174.42;875.52;devolvido parcial;NF-102573;D-Glass;E-commerce;Venda;ConstruShow;devolução em análise
PED-2025-02574;ITEM-02574;19/07/2025;29/07/2025;C0015;Omega Reformas Ltda;Construtora;V006;FELIPE ALVES;P0147;Espelho Prata 5mm;Espelhos; 5 ;194.92;974.59;6.92;67.42;907.17;Cancel.;NF-102574;03-DGlass;Venda Interna;Venda futura;ConstruShow;verificar comissão
PED-2025-02575;ITEM-02575;10/07/2025;21/07/2025;C0022;VIVA LAR;Representante;V008;H. Martins;P0004;Vidro Temperado Incolor 8mm;Vidro Temperado;-1;366.28;-366.28;13.38%;49.01;-415.29;Faturado;NF-102575;02 - Link Glass;Key Account;Venda futura;ConstruShow;frete negociado
PED-2026-02576;ITEM-02576;20-05-26;21/05/2026;C0008;HABITAT DESIGN;Consumidor Final;V008;Henrique M.;P0145;Trilho Modelo 427;Ferragens;3; 80.42 ;241.26;5.03;12.13;229.13;FATURADO;NF-102576;1-NewGlass;Representante;Reposição;Importação CSV;verificar comissão
PED-2026-02577;ITEM-02577;09/02/2026;17/02/2026;C0002;BETA CONSTRUÇÕES;Consumidor Final;V004;Diego R.;P0006;Box Reto 190cm;Box Banheiro;1;1127.22;1127.22;15.36;173.18;954.04;FATURADO;NF-102577;03 - DGlass;Representante;Venda;Importação CSV;verificar comissão
PED-2026-02578;ITEM-02578;2026-05-08;08-05-26;C0001;Alfa Vidr.;Revenda;;B. Lima;P0039;Suporte Modelo 845;Ferragens;4;50.75;203.00;8.52;17.29;R$ 185,71;faturado;NF-102578;D-Glass;Representante;Venda futura;Importação CSV;pedido refeito
PED-2025-02579;ITEM-02579;04/08/2025;04/08/25;C0036;JBR Esquadrias;Representante;V001;ANA SOUZA;P0149;Espelho Bronze 5mm;Espelhos;1;263.93; 263.93 ;13.99;36.91;227.02;devolvido parcial;NF-102579;02 - Link Glass;WhatsApp;Reposição;Importação CSV;devolução em análise
PED-2026-02580;ITEM-02580;25/02/2026;05-03-26;C0016;Prime Glass;Consumidor Final;V005;Elaine C.;P0093;Medição Técnica 4;Serviços;1;776.19;776,19;10.82; 83.95 ;692,24;faturado;NF-102580;1-NewGlass;E-commerce;Venda;Construshow;verificar comissão
PED-2026-02581;ITEM-02581; 24/03/2026 ;;C0015;OMEGA REFORMAS;Construtora;V004;D. Rocha;P0109;Espelho Prata 3mm;Espelhos;1;178.99; 178.99 ;6.39;11.43;167.56;FATURADO;NF-102581;02 - Link Glass;E-commerce;Venda;ConstruShow;pedido refeito
PED-2026-02582;ITEM-02582;2026-06-12;22/06/2026;C0024;Xavier Arquitetura;Construtora;V002;Bruno Lima;P0109;Espelho Prata 3mm;Espelhos; 2 ;208,74;417.48;10,74;44.82;372.66;Faturado;NF-102582;01 - New Glass;WhatsApp;Venda futura;Construshow;cliente pediu urgência
PED-2025-02583;ITEM-02583; 03/11/2025 ;2025-11-12;C0034;HORIZONTE VIDROS;Arquitetura;V003;Carla Mendes;P0097;Espelho Bisotê 6mm;Espelhos;2;265.41;530.82;13,24;70.29;460,53;faturado;NF-102583;03-DGlass;Representante;Venda;ConstruShow;cliente pediu urgência
PED-2025-02584;ITEM-02584;16/08/25;23/08/2025;C0031;Estrela Box;Construtora;V007;GABRIELA NUNES;P0124;Espelho Prata 6mm;Espelhos;2;188.41;R$ 376,82;12.10;45.58;R$ 331,24;Faturado ;NF-102584;02 - Link Glass;Venda Interna;Venda;Planilha manual;cliente pediu urgência
PED-2026-02585;ITEM-02585;09/04/2026;17/04/2026;C0017; Quality Box ;Construtora;V003;CARLA MENDES;P0054;Box Canto 190cm;Box Banheiro;2;1018.82;2037.64;14.04%;286.06;1751.58;Devolvido Parcial;NF-102585;03 - DGlass;WhatsApp;Venda;Importação CSV;frete negociado
PED-2025-02586;ITEM-02586;11/09/25;22/09/2025;C0015;OMEGA REFORMAS;Construtora;V004;Diego Rocha;P0110;Espelho Bisotê 6mm;Espelhos;1;202.70;202.70;13.37;27.11;175.59;FATURADO;NF-102586;02 - Link Glass;Key Account;Venda;ConstruShow;devolução em análise
PED-2026-02587;ITEM-02587;25/01/2026;2026-02-02;C0017;Quality Box Ltda;Construtora;V005;Elaine C.;P0160;Box Reto 200cm;Box Banheiro; 7 ;1605.61;11239.28;14.64%;1645.45;9593.83;faturado;NF-102587;03 - DGlass;Venda Interna;Venda;Importação CSV;pedido refeito
PED-2026-02588;ITEM-02588;07/01/2026;2025-13-10;C0028; Barigui Obras ;Construtora;V007;Gabriela Nunes;P0054;Box Canto 190cm;Box Banheiro;2;1130.14;2260.28;3.14;71.08;2189.20;Dev. Parcial;NF-102588;D-Glass;Venda Interna;Reposição;Importação CSV;frete negociado
PED-2026-02589;ITEM-02589;07/03/2026;08/03/2026;C0008;Habitat Design Ltda;Consumidor Final;V002;Bruno Lima;P0028;Perfil H 2m;Perfis de Alumínio;5;182.28;911.39;7.80;71.08;840.31;devolvido parcial;NF-102589;03-DGlass;Venda Interna;Venda;Planilha manual;devolução em análise
PED-2026-02590;ITEM-02590;2026-03-23;2026-03-23;C0017;Quality Box;Construtora;V008;H. Martins;P0148;Vedação 18;Acessórios;21;83.98;1763.50;;192.13;1571.37;faturado;NF-102590;D-Glass;WhatsApp;Venda;ERP;frete negociado
PED-2025-02591;ITEM-02591;30-04-25;;C0026;Zeta Interiores;Arquitetura;V002;BRUNO LIMA;P0140;Espelho Prata 5mm;Espelhos;2;275.34;550,69;10.58;58.26;492,43;Faturado ;NF-102591;03-DGlass;Loja;Venda;ConstruShow;devolução em análise
PED-2025-02592;ITEM-02592;21/08/2025;29/08/2025;C0030;DGlass Parceiros;Franquia;V008;H. Martins;P0136;Espelho Bronze 3mm;Espelhos;4; 335.51 ;1342.03;9.85%;132.15;1209.88;Faturado ;NF-102592;02 - Link Glass;WhatsApp;Reposição;ConstruShow;
PED-2025-02593;ITEM-02593;17/01/2025;20-01-25;C0028;Barigui Obras;Construtora;V003;C. Mendes;P0126;Puxador Modelo 475;Ferragens;1;191.32;191.32;14.98; 28.67 ;162.65;devolvido total;NF-102593;D-Glass;Venda Interna;Venda futura;Planilha manual;cliente pediu urgência
PED-2025-02594;ITEM-02594;08/02/2025;14/02/2025;C0030; DGlass Parceiros ;Franquia;V002;Bruno L.;P0019;Roldana Modelo 304;Ferragens;8;158.27;1266.16;90.68%;1148.20;117.96;Bonificação ;NF-102594;01 - New Glass;Representante;Bonificação;Importação CSV;frete negociado
PED-2026-02595;ITEM-02595;16-04-26;16/04/2026;C0018; Rossi Engenharia ;Consumidor Final;;G. Nunes;P0132;Lapidação 1;Serviços;3;496.40;1489.20;6.00;89.37;1399.83;FATURADO;NF-102595;03-DGlass;Key Account;Venda;Construshow;cliente pediu urgência
PED-2025-02596;ITEM-02596; 28/01/2025 ;01-02-25;C0010;Jardim Vidros;Construtora;;Gabriela Nunes;P0141;Vidro Laminado Acústico 10mm;Vidro Laminado;2;310.69;R$ 621,37;8.64%;53.68;567.69;Faturado ;NF-102596;03 - DGlass;Representante;Reposição;Planilha manual;cliente pediu urgência
PED-2025-02597;ITEM-02597; 25/01/2025 ;31/01/2025;C0030;DGlass Parceiros Ltda;Franquia;V005;ELAINE COSTA;P0014;Vidro Laminado Incolor 8mm;Vidro Laminado;2;821.82;1643.64;13.28;218.31;1425.33;DEV PARCIAL;NF-102597;D-Glass;E-commerce;Venda;ConstruShow;cliente pediu urgência
PED-2026-02598;ITEM-02598;07-01-26;19/01/2026;C0009;IDEAL BOX;Representante;V004;DIEGO ROCHA;P0012;Box Articulado 200cm;Box Banheiro;1;985.28;985.28;10.55;103.93;881,35;Faturado ;NF-102598;01 - New Glass;Loja;Venda futura;Planilha manual;pedido refeito
PED-2025-02599;ITEM-02599;15/11/2025;23/11/25;C0031;Estrela Box Ltda;Construtora;V004;DIEGO ROCHA;P0104;Frete Especial 9;Serviços;3;316.18;948.53;;78.73;869.80;faturado;NF-102599;01 - New Glass;WhatsApp;Reposição;Planilha manual;pedido refeito
PED-2025-02600;ITEM-02600;05/09/2025;17/09/2025;C0023; Wall Glass ;Consumidor Final;V002;B. Lima;P0062;Espelho Prata 5mm;Espelhos;4;129.08;516.31;8.96;46.28;470.03;Faturado ;NF-102600;02 - Link Glass;Representante;Reposição;ERP;
PED-2025-02601;ITEM-02601;2025-09-24;01/10/2025;C0005; Espaço Glass ;Revenda;V003;C. Mendes;P0118;Kit Instalação 16;Acessórios;5;13.50;67.52;13.11;8.85;58.67;Faturado ;NF-102601;1-NewGlass;Venda Interna;Reposição;Importação CSV;
PED-2025-02602;ITEM-02602;16/06/2025;21-06-25;C0026;Zeta Interiores;Arquitetura;V004;Diego R.;P0004;Vidro Temperado Incolor 8mm;Vidro Temperado;2;319,47;638.94;8.80;56.23;582.71;Cancelado;NF-102602;03 - DGlass;WhatsApp;Venda futura;ConstruShow;devolução em análise
PED-2026-02603;ITEM-02603;21/03/2026;2026-04-01;C0039;NOBRE ENGENHARIA;Revenda;V007;Gabi Nunes;P0026;Lapidação 2;Serviços;3;214.57;643,70;10,44;67,21;576.49;faturado;NF-102603;03-DGlass;Key Account;Venda;Planilha manual;pedido refeito
PED-2025-02604;ITEM-02604;03/05/2025;09-05-25;C0023; Wall Glass ;Consumidor Final;V007;Gabi Nunes;P0051;Medição Técnica 8;Serviços;5; 123.61 ;618,04;14.67%;90.65;R$ 527,39;Faturado;NF-102604;1-NewGlass;E-commerce;Reposição;Planilha manual;verificar comissão
PED-2025-02605;ITEM-02605;12/07/2025;20/07/2025;C0014;NOVA CASA;Consumidor Final;V008;HENRIQUE MARTINS;P0019;Roldana Modelo 304;Ferragens;7;153.26;1072.79;8.54;91.62;R$ 981,17;faturado;NF-102605;1-NewGlass;Representante;Venda;ERP;frete negociado
PED-2025-02606;ITEM-02606;2025-01-15;22/01/2025;C0017; Quality Box ;construtora;V003;Carla Mendes;P0150;Medição Técnica 5;Serviços;7; 250.24 ;1751.70;13.58;237.83;R$ 1.513,87;faturado;NF-102606;D-Glass;WhatsApp;Venda;ConstruShow;verificar comissão
PED-2026-02607;ITEM-02607;25/01/2026;28/01/2026;C0023; Wall Glass ;Consumidor Final;V007;GABRIELA NUNES;P0154;Instalação 4;Serviços;1;248.58;248.58;26.65;66.26;R$ 182,32;Faturado ;NF-102607;1-NewGlass;Representante;Venda;Importação CSV;pedido refeito
PED-2025-02608;ITEM-02608;14/02/2025;21/02/2025;C0007;Gran Lux;Franquia;V005;Elaine C.;P0156;Box Canto 180cm;Box Banheiro;3;1190.47;3571.41;12.58;449,40;3122.01;devolvido parcial;NF-102608;02 - Link Glass;Loja;Venda;ERP;cliente pediu urgência
PED-2025-02609;ITEM-02609;26/07/2025;28/07/2025;C0018;Rossi Engenharia;Consumidor Final;V003;Carla M.;P0158;Frete Especial 1;Serviços;1;529.84;529.84;11.13;58.99;470.85;devolvido parcial;NF-102609;1-NewGlass;Key Account;Venda;Importação CSV;
PED-2025-02610;ITEM-02610;02/01/2025;2025-01-06;C0018;Rossi Engenharia;Consumidor Final;V008;H. Martins;P0036;Lapidação 4;Serviços;1;R$ 657,94;657.94;8.82;58,02; 599.92 ;Faturado;NF-102610;02 - Link Glass;E-commerce;Venda;Importação CSV;cliente pediu urgência
PED-2026-02611;ITEM-02611;13/05/2026;14/05/26;C0004;Delta Obras Ltda;Franquia;V002;Bruno Lima;P0047;Vidro Laminado Incolor 6mm;Vidro Laminado;1;R$ 360,63;360.63;20.41;73.62;287.01;Faturado ;NF-102611;03-DGlass;Representante;Reposição;Importação CSV;cliente pediu urgência
PED-2025-02612;ITEM-02612;2025-01-09; 09/01/2025 ;C0036;JBR Esquadrias Ltda;Representante;V008;Henrique M.;P0120;Suporte Modelo 676;Ferragens;1;135,94;135.94;9.67;13.15;122.79;FATURADO;NF-102612;01 - New Glass;Venda Interna;Venda;ConstruShow;
PED-2025-02613;ITEM-02613;01/10/25;;C0018;Rossi Engenharia;Consumidor Final;V003;C. Mendes;P0030;Vidro Laminado Incolor 10mm;Vidro Laminado;11;531.83;5850.12;12.88%;753.77;5096.35;Pedido em Aberto;;03 - DGlass;WhatsApp;Venda futura;Construshow;
PED-2025-02614;ITEM-02614;28/12/2025;03/01/2026;C0013;MATRIZ CONSTRUÇÕES;Arquitetura;V007;Gabriela Nunes;P0121;Suporte Modelo 623;Ferragens;2;180.44;360.88;12.64;45.60; 315.28 ;CANCELADO;NF-102614;1-NewGlass;Loja;Venda;Construshow;
PED-2025-02615;ITEM-02615;07/07/2025;;C0015;Omega Reformas;Construtora;V005;Elaine Costa;P0156;Box Canto 180cm;box banheiro;2;1299.12;2598.24;19,40;504,18;2094.06;pedido em aberto;;1-NewGlass;Venda Interna;Reposição;Construshow;frete negociado
PED-2026-02616;ITEM-02616;10/01/2026;2026-01-13;C0013;Matriz Construções;Arquitetura;V002;Bruno Lima;P0049;Lapidação 8;Serviços;1,0;795.44;795.44;90,27;718.05; 77.39 ;Bonificação;NF-102616;D-Glass;Representante;Bonificação;Construshow;
PED-2026-02617;ITEM-02617;2026-04-17;2026-04-27;C0038;Master Glass;Revenda;V003;Carla M.;P0078;Vidro Temperado Fumê 12mm;Vidro Temperado;1;225.18;225.18;11.03;24,84;200.34;FATURADO;NF-102617;03-DGlass;Loja;Venda;Construshow;
PED-2026-02618;ITEM-02618;10/01/2026;15/01/2026;C0032;Forte Alumínio;Arquitetura;V007;Gabi Nunes;P0061;Vidro Laminado Incolor 6mm;Vidro Laminado;2;429.34;R$ 858,68;8.70;R$ 74,67;784.01;faturado;NF-102618;03 - DGlass;Venda Interna;Venda;Importação CSV;cliente pediu urgência
